Rank,City,Price To Income Ratio,Gross Rental Yeild City Centre,Gross Rental Yeild Outside of City ,Price To Rent Ratio City Centre,Price To Rent Ratio Outside of City,Mortgage as a Percentage of Income,Affordability Index
80,"Phoenix, AZ",2.4,14.0,13.0,7.2,7.7,19.2,5.2
81,"Richmond, VA",2.4,7.3,17.3,13.7,5.8,20.0,5.0
82,"Houston, TX",2.3,11.9,14.7,8.4,6.8,18.3,5.5
83,"Durham, NC",2.1,9.1,15.4,11.0,6.5,16.6,6.0
84,"Baton Rouge, LA",2.0,17.8,15.5,5.6,6.4,16.1,6.2
85,"Grand Rapids, MI",1.9,14.6,16.1,6.9,6.2,15.9,6.3
86,"Indianapolis, IN",1.9,13.2,16.4,7.6,6.1,16.0,6.2
87,"Omaha, NE",1.8,13.3,18.7,7.5,5.4,14.9,6.7
88,"Huntsville, AL",1.6,13.7,14.0,7.3,7.2,13.4,7.5
89,"Wichita, KS",1.6,15.2,12.8,6.6,7.8,13.0,7.7
90,"Detroit, MI",1.4,21.7,14.3,4.6,7.0,11.0,9.1
91,"Memphis, TN",1.3,38.7,10.4,2.6,9.6,11.0,9.1
92,"Tulsa, OK",1.3,15.8,16.2,6.3,6.2,9.9,10.1
93,"El Paso, TX",1.2,17.2,17.7,5.8,5.7,10.2,9.8
94,"Baltimore, MD",1.0,31.2,30.8,3.2,3.3,7.8,12.8
